Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,53.775,47.55,0,-0.7071068,0,0.7071068
0.02,426.785,53.775,47.55,0,-0.7071068,0,0.7071068
0.3533334,426.785,53.775,47.55,-0.04449162,-0.6238484,-0.03625669,0.7794352
0.4058757,426.785,53.775,47.55,-0.04659542,-0.6224957,-0.0374057,0.7803389
0.433488,426.785,53.775,47.55,-0.04852207,-0.6223578,-0.03868338,0.7802691
0.4482978,426.785,53.775,47.55,-0.04938331,-0.6221694,-0.03912466,0.7803435
0.4623214,426.785,53.775,47.55,-0.04943887,-0.6220399,-0.03910199,0.7804443
0.4764207,426.785,53.775,47.55,-0.04941539,-0.6220406,-0.03923401,0.7804385
0.4899223,426.785,53.775,47.55,-0.04927334,-0.6221175,-0.03991495,0.7803517
0.5037923,426.785,53.775,47.55,-0.04914572,-0.6221198,-0.04028406,0.780339
0.5183346,426.785,53.775,47.55,-0.04903033,-0.6224707,-0.04093705,0.7800323
0.5315464,426.785,53.775,47.55,-0.04940185,-0.6231031,-0.04046739,0.7795285
0.5450206,426.785,53.775,47.55,-0.04978559,-0.6234589,-0.04030002,0.779228
0.5592666,426.785,53.775,47.55,-0.05004808,-0.6235064,-0.04020438,0.7791782
0.5728191,426.785,53.775,47.55,-0.0500421,-0.6234146,-0.03994906,0.779265
0.5845168,426.785,53.775,47.55,-0.04996144,-0.6230671,-0.0399138,0.7795501
0.5994691,426.785,53.775,47.55,-0.04987355,-0.6229277,-0.04008396,0.7796583
0.6696522,426.785,53.775,47.55,-0.04927904,-0.6225709,-0.04067348,0.7799506
0.6853982,426.785,53.775,47.55,-0.0492356,-0.6212811,-0.04137871,0.780944
0.7001603,426.785,53.775,47.55,-0.04902383,-0.6205249,-0.04191169,0.7815299
0.7206768,426.785,53.775,47.55,-0.04877732,-0.619953,-0.04244864,0.7819701
0.7413908,426.785,53.775,47.55,-0.04887818,-0.6201765,-0.04175271,0.781824
0.7617128,426.785,53.775,47.55,-0.0498994,-0.6202365,-0.04115963,0.7817434
0.7820899,426.785,53.775,47.55,-0.04880973,-0.6207695,-0.04077147,0.7814094
0.8023853,426.785,53.775,47.55,-0.04803142,-0.6208461,-0.04097179,0.7813863
0.8229845,426.785,53.775,47.55,-0.04755078,-0.6227161,-0.04054914,0.7799484
0.8391973,426.785,53.775,47.55,-0.04770309,-0.6223339,-0.04289861,0.7801185
0.8600236,426.785,53.775,47.55,-0.04794186,-0.6219538,-0.04367219,0.7803639
0.8805199,426.785,53.775,47.55,-0.04886205,-0.6207192,-0.04406817,0.7812671
0.9021031,426.785,53.775,47.55,-0.04960752,-0.6198679,-0.04436376,0.781879
0.9216635,426.785,53.775,47.55,-0.05087799,-0.619723,-0.04426237,0.781918
0.9418284,426.785,53.775,47.55,-0.05198216,-0.6194905,-0.04459611,0.7820106
0.9626349,426.785,53.775,47.55,-0.05214152,-0.6196907,-0.04431594,0.7818574
0.982603,426.785,53.775,47.55,-0.05295671,-0.6194364,-0.04471993,0.7819811
0.9992175,426.785,53.775,47.55,-0.05318595,-0.6192041,-0.04560385,0.7820984
1.019818,426.785,53.775,47.55,-0.05299622,-0.619121,-0.04635238,0.782133
1.039937,426.785,53.775,47.55,-0.05329272,-0.6189865,-0.04731547,0.7821617
1.060852,426.785,53.775,47.55,-0.05314814,-0.6192793,-0.04757938,0.7819237
1.081076,426.785,53.775,47.55,-0.0537132,-0.6192834,-0.04832781,0.781836
1.101659,426.785,53.775,47.55,-0.05431717,-0.6193644,-0.04891052,0.7816939
1.121844,426.785,53.775,47.55,-0.05482668,-0.6191791,-0.04969101,0.7817557
1.14264,426.785,53.775,47.55,-0.05480702,-0.6190906,-0.04943695,0.7818434
1.163046,426.785,53.775,47.55,-0.05526367,-0.6193447,-0.04999803,0.7815743
1.179297,426.785,53.775,47.55,-0.05561888,-0.6193593,-0.05023417,0.7815224
1.199719,426.785,53.775,47.55,-0.05617337,-0.6193414,-0.05095035,0.7814505
1.220335,426.785,53.775,47.55,-0.05625232,-0.6191087,-0.05062186,0.7816506
1.240817,426.785,53.775,47.55,-0.05650772,-0.6188357,-0.05093023,0.7818283
1.261618,426.785,53.775,47.55,-0.05640797,-0.6191241,-0.05101185,0.7816018
