Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.6634,54.0334,48.60383,0.8783847,-0.1666025,1.053829,0.01460792,-0.7254903,0.00390362,0.6880663
0.4321602,427.6636,54.03352,48.60372,0.8786399,-0.1664776,1.053719,0.01370543,-0.7254679,0.003246174,0.6881119
0.4512419,427.6636,54.03368,48.60387,0.8785812,-0.1663182,1.053872,0.01291525,-0.7255923,0.002880826,0.6879977
0.4690426,427.6635,54.03377,48.60392,0.8784803,-0.1662285,1.053917,0.01258259,-0.7256125,0.002421279,0.6879844
0.4825875,427.6634,54.03384,48.60397,0.878383,-0.1661606,1.053964,0.01244461,-0.7255588,0.002485056,0.6880431
0.4967436,427.6633,54.0339,48.604,0.8783235,-0.166103,1.053996,0.01234343,-0.7254602,0.002350334,0.6881495
0.5115871,427.6633,54.03397,48.60406,0.8782779,-0.1660328,1.054061,0.01210576,-0.7253978,0.002394779,0.6882193
0.5253299,427.6632,54.03399,48.60412,0.8782371,-0.1660142,1.054119,0.01186591,-0.7252374,0.002142608,0.6883934
0.5388055,427.6632,54.03402,48.60419,0.8782108,-0.1659864,1.054183,0.01178124,-0.7251507,0.001753182,0.6884872
0.5521855,427.6632,54.03403,48.60427,0.8781824,-0.1659691,1.054266,0.01153912,-0.7251064,0.001396209,0.6885387
0.5661451,427.6631,54.03415,48.60437,0.8781017,-0.1658481,1.054371,0.01176329,-0.7250536,0.0009302608,0.6885914
0.5801485,427.663,54.03429,48.60445,0.8780023,-0.1657101,1.054442,0.01237235,-0.7248135,-0.0003291388,0.688834
0.5940846,427.6629,54.03441,48.60452,0.8779249,-0.165593,1.054521,0.01306469,-0.7244722,-0.001605531,0.6891783
0.6074126,427.6629,54.03451,48.60461,0.8778622,-0.1654877,1.054606,0.01361106,-0.7240953,-0.002729111,0.6895602
0.62247,427.6628,54.03461,48.60468,0.8778024,-0.165388,1.054675,0.01377948,-0.7237035,-0.003482301,0.6899647
0.6355951,427.6628,54.03472,48.60476,0.8777824,-0.1652815,1.054754,0.01345297,-0.7234026,-0.004101436,0.6902832
